,key,time
0,D,0
1,8,945
2,0,1652
3,N,2429
4,Z,2972
5, ,3497
6,2,4064
7,1,4518
8,T,5178
9,Q,5717
10,Z,6824
11,S,7261
12, ,7832
13,3,8402
14,H,9014
15,N,9827
16,H,10533
17,I,10862
18,J,11282
19, ,11939
20,G,12614
21,C,13292
22,6,14597
23,A,15328
24,Z,16469
25,T,16964
26, ,17552
27,V,18087
28,O,18632
29,D,19214
30,E,20116
31,1,20612
32,5,21121
33,Y,22381
34,Q,22901
35,D,23777
36,7,24418
37,7,24856
38,3,25485
39, ,26548
40,2,27691
41,J,28648
42,6,29641
43,V,30331
44,F,31441
45,W,31906
46, ,32667
47,Q,33106
48,C,33629
49,K,34456
50,1,35022
51,N,35611
52,A,36150
53, ,36690
54,8,37830
55,B,38701
56,U,39511
57,B,40002
58,B,40456
59,P,41233
60, ,41911
61,4,42567
62,F,43170
63,G,43680
64,H,44490
65,6,45046
66,T,46032
67,K,47355
68,5,48015
69,2,48913
70,4,49560
71,R,50745
72,5,51254
73, ,51810
74,Q,52304
75,R,52920
76,H,53685
77,J,54716
78,G,55349
79,D,55889
80, ,56474
81,4,57029
82,7,57600
83,L,58676
84,V,59248
85,J,60015
86,I,60477
87, ,60944
88,U,61526
89,2,62130
90,R,63734
91,P,64394
92,0,64991
93,0,65500
94, ,66074
95,V,66704
96,0,67304
97,C,68308
98,M,68804
99,O,69282
100,J,69907
101,4,74519
102,8,75118
103,T,75674
104,3,76253
105,L,77590
106,8,78070
107, ,78565
108,I,79255
109,F,79797
110,U,80714
111,L,81299
112,A,81731
113,M,82182
114,Backspace,83110
115,P,84340
116, ,84928
117,P,85946
118,M,86544
119,O,87702
120,F,88243
121,Y,88734
122,L,89442
123, ,90013
124,Z,90612
125,L,91104
126,N,91749
127,E,92383
128,K,92787
129,U,93252
130, ,93748
131,0,94528
132,I,95082
133,I,95487
134,M,95937
135,G,96508
136,P,96972
137,1,98469
138,9,98978
139,R,99522
140,X,100104
141,W,101667
142,9,102131
143, ,102655
144,X,103538
145,X,104081
146,9,104710
147,Z,106001
148,7,106598
149,A,107066
150, ,107532
151,3,108281
152,H,108686
153,D,109316
154,C,110202
155,O,110663
156,K,111086
157, ,111578
158,8,112104
159,W,112688
160,5,113933
161,N,114566
162,9,115672
163,9,116067
164, ,116575
165,K,117131
166,W,117802
167,5,118931
168,Backspace,119800
169,6,120161
170,S,121136
171,V,121676
172,7,122935
173,M,124345
174,5,124930
175,Y,126367
176,2,127165
177,6,130312
178,M,130750
179, ,131272
180,C,131725
181,T,132157
182,S,132697
183,X,133615
184,W,134425
185,S,135742
186, ,136704
187,B,137230
188,G,137635
189,Y,138205
190,1,138877
191,X,139434
192,U,139944
193, ,140529
194,4,141100
195,E,141655
196,E,142191
197,B,142794
198,3,143274
199,F,143845
200, ,144429
201,A,144924
202,E,145448
203,R,146020
204,Y,146845
205,O,147430
206,Q,147968
